City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,81.1,scattered clouds,-9.8,-139.0333,Villa Enata
2,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
5,Puebloviejo,CO,84.99,overcast clouds,10.9938,-74.2844,The Journey Hostel
9,Buraydah,SA,80.6,broken clouds,26.326,43.975,فندق راحة السلام
11,Hobyo,SO,80.78,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
12,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
14,Riberalta,BO,78.8,broken clouds,-10.9833,-66.1,Hotel Colonial
16,Ternate,ID,81.46,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
18,Phuket,TH,84.99,scattered clouds,8.0,98.25,The Surin Phuket
19,Cayenne,GF,81.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
22,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
24,Poum,NC,76.78,overcast clouds,-20.2333,164.0167,Gîte kajeon
28,Butaritari,KI,82.18,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Rivadavia,AR,77.0,few clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
32,Victoria,HK,78.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
35,Pahrump,US,80.01,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
36,Banjar,ID,78.8,scattered clouds,-8.19,114.9675,The Hamsa Resort
37,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
38,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
40,Saint-Philippe,RE,77.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Hilo,US,80.6,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
48,Kavieng,PG,82.36,light rain,-2.5744,150.7967,Nusa Island Retreat
52,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
58,Paulo Afonso,BR,83.05,few clouds,-9.4061,-38.2147,Pousada Ilha Bela
64,Isangel,VU,82.99,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
66,Alyangula,AU,83.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
71,Namibe,AO,75.69,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
72,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
73,Palu,ID,76.91,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
76,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
82,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Soyo,AO,80.2,overcast clouds,-6.1349,12.3689,Hotel Mpampa
96,Tessalit,ML,78.93,clear sky,20.1986,1.0114,
98,Arraial Do Cabo,BR,76.5,few clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
104,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
109,Kango,GA,75.04,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
112,Lazaro Cardenas,MX,85.42,clear sky,17.9583,-102.2,Hotel Quinta Antigua
116,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
117,Carutapera,BR,76.64,moderate rain,-1.195,-46.02,Lidera
130,Cabo San Lucas,MX,86.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
132,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
133,Karratha,AU,81.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
134,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
135,Gamba,GA,77.92,overcast clouds,-2.65,10.0,
141,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
144,Kumo,NG,82.02,scattered clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
148,San Teodoro,PH,78.01,overcast clouds,13.4375,121.0193,"EdRay's Guesthouse, Restaurant and Bar"
150,Pundaguitan,PH,81.36,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
152,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
153,Vanimo,PG,79.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
157,Paraiso,CR,75.0,broken clouds,9.8383,-83.8656,Rinconcito Verde
158,San Jose,US,88.0,clear sky,37.3394,-121.895,The Westin San Jose
159,Koulikoro,ML,82.18,clear sky,14.0,-7.75,
166,Sabang,ID,81.75,light rain,5.8933,95.3214,Hotel Citra
172,Bengkulu,ID,75.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
179,Pacific Grove,US,82.4,clear sky,36.6177,-121.9166,Lovers Point Inn
184,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
185,Itarema,BR,78.21,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
189,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
190,Manadhoo,MV,83.84,overcast clouds,5.7667,73.3833,Vevu Guesthouse
199,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
200,Gilbues,BR,78.87,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
201,Lorengau,PG,82.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
203,Itupiranga,BR,84.2,light rain,-5.1347,-49.3267,Hotel Panorama
206,Lamu,KE,84.2,scattered clouds,-2.2717,40.902,Lamu House
208,Sur,OM,82.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
211,Loandjili,CG,80.6,light rain,-4.7561,11.8578,Résidence ARCHANGE
215,Port Keats,AU,77.76,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
219,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
220,Hsinchu,TW,75.99,clear sky,24.8036,120.9686,迎曦大飯店
223,Nanakuli,US,84.2,few clouds,21.3906,-158.1547,Camp Pālehua
227,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
228,Dzaoudzi,YT,80.6,clear sky,-12.7887,45.2699,Le Rocher
229,Isla Vista,US,82.4,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
230,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
232,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.0833,Scoop Guest House
234,Teknaf,BD,75.87,clear sky,20.8624,92.3058,Forestry Guesthouse
235,Yarada,IN,82.4,mist,17.65,83.2667,Jeevan
236,Singapore,SG,80.6,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
238,Bandarbeyla,SO,76.26,scattered clouds,9.4942,50.8122,JABIR HOTEL
248,Manggar,ID,77.5,overcast clouds,-2.8833,108.2667,Guest Hotel
251,Esmeraldas,BR,80.6,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
254,Kavaratti,IN,83.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
255,Harper,LR,78.78,scattered clouds,4.375,-7.7169,Screensaver
261,Adre,TD,75.79,broken clouds,13.4667,22.2,
267,Faanui,PF,82.62,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
275,Bandrele,YT,80.6,light rain,-12.9067,45.1914,Les Baobabs
277,Tsabong,BW,79.48,broken clouds,-26.0217,22.401,Springbok Motel
279,Labuhan,ID,77.2,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
284,Fare,PF,82.74,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
286,Wajir,KE,81.5,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
287,Waingapu,ID,78.39,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
291,Mayumba,GA,78.71,light rain,-3.432,10.6554,LIKWALE LODGE
296,Bubaque,GW,75.87,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
299,Kodinar,IN,75.31,few clouds,20.7903,70.7031,Gayatri Auto advisor
301,Santa Isabel Do Rio Negro,BR,75.69,overcast clouds,-0.4139,-65.0192,Hotel GSA
303,Tautira,PF,87.8,moderate rain,-17.7333,-149.15,Pension Oaoa
304,Lake Havasu City,US,87.8,clear sky,34.4839,-114.3224,Heat Hotel
308,Wanning,CN,76.06,few clouds,18.8003,110.3967,Paradise Hotel
309,Verrettes,HT,86.0,few clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
310,Ekpoma,NG,75.88,few clouds,6.7421,6.138999999999999,His Banna Hotel
312,Vila Velha,BR,77.0,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
316,Bushehr,IR,75.4,broken clouds,28.9684,50.8385,Yas Hotel
318,Ippy,CF,78.06,broken clouds,6.2679,21.2247,
323,Kollo,NE,84.2,clear sky,13.3043,2.339,
324,Katobu,ID,76.98,overcast clouds,-4.9408,122.5276,La Ode Husein
327,Bosaso,SO,79.39,few clouds,11.2842,49.1816,Red Sea Hotel
337,Dehloran,IR,76.08,overcast clouds,32.6941,47.2679,کافه گیم استورم
339,Pucallpa,PE,84.2,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
340,Bonthe,SL,79.36,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
345,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
347,Coahuayana,MX,86.0,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
348,Caxito,AO,80.6,few clouds,-8.5785,13.6643,
349,Labrea,BR,75.15,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
352,Tucurui,BR,75.65,heavy intensity rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
353,Kalmunai,LK,76.98,few clouds,7.4167,81.8167,VS Villa
356,Jawhar,SO,79.21,overcast clouds,2.7809,45.5005,cosoble spare parts
357,Sao Jose Da Coroa Grande,BR,79.39,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
372,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
375,Gouyave,GD,80.6,few clouds,12.1646,-61.7296,Rumboat Retreat
377,Kouroussa,GN,84.25,clear sky,10.65,-9.8833,Hotel Paillote
378,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
381,Acarau,BR,78.57,broken clouds,-2.8856,-40.12,castelo pizzaria
388,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
394,Ambon,ID,78.8,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
402,Half Moon Bay,US,77.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
404,Pacifica,US,80.6,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
420,Inirida,CO,76.03,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
421,Port Hueneme,US,84.2,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
424,Kibala,TD,84.2,clear sky,9.1104,18.3463,
429,Laguna,US,84.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
433,La Montanita,CO,75.61,overcast clouds,1.4766,-75.4398,Casa Materna La Montañita
434,Catio,GW,75.02,clear sky,11.2833,-15.25,Pausada Morabedja
441,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
444,Pauini,BR,75.27,light rain,-7.7136,-66.9764,Casa do Kiwliks
447,Aitape,PG,78.94,overcast clouds,-3.1374,142.3475,
449,Alice Town,BS,75.45,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
454,Denpasar,ID,78.8,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
456,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
457,Iracoubo,GF,77.43,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
459,Lompoc,US,75.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
460,Makakilo City,US,84.2,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
461,Honiara,SB,85.1,overcast clouds,-9.4333,159.95,Heritage Park Hotel
462,Dicabisagan,PH,78.04,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
463,Tevaitoa,PF,82.58,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
464,Tayu,ID,77.5,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
465,Siparia,TT,80.01,overcast clouds,10.1333,-61.5,Brook Gardens
469,Nargana,PA,80.2,broken clouds,9.4428,-78.5906,Dubbir
478,Atmakur,IN,80.26,overcast clouds,15.8833,78.5833,Mee seva atk
480,Buala,SB,84.94,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
482,Suba,PH,82.29,overcast clouds,10.8438,121.0102,Casita Bed and Grill
483,Ormara,PK,82.27,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
490,Saquarema,BR,80.6,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
493,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
497,Sibolga,ID,75.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
502,Chiang Klang,TH,76.17,clear sky,19.2938,100.8617,Sangthong Resort
503,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
504,Kupang,ID,75.2,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
505,Alcantara,BR,80.6,moderate rain,-2.4089,-44.4147,Pousada da Josefa
513,Balikpapan,ID,76.17,light rain,-1.2675,116.8289,ibis Balikpapan
514,Kieta,PG,83.26,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
521,Namatanai,PG,83.68,light rain,-3.6667,152.4333,Namatanai Hotel
525,Rabak,SD,82.8,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
528,Gigmoto,PH,80.13,overcast clouds,13.7796,124.39,Cj's Travellers Inn
532,Ugoofaaru,MV,83.64,overcast clouds,5.6667,73.0,Ungoofaaru Inn
535,Hambantota,LK,78.66,few clouds,6.1241,81.1185,Bungalow 63
541,Port Blair,IN,81.01,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
544,Bani,DO,80.01,clear sky,18.2833,-70.3333,Hospedaje Henriquez
548,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
549,Pandan,PH,80.2,overcast clouds,14.0453,124.1694,Bonifacio Lodge
551,Carira,BR,75.69,broken clouds,-10.3608,-37.7011,Praca dos motorista
552,Trat,TH,81.0,overcast clouds,12.5,102.5,สวนหนิง-อัศ
553,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,Sulthan Hotel International
554,Taoudenni,ML,86.76,broken clouds,22.6783,-3.9836,
555,Dwarka,IN,77.94,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
558,San Policarpo,PH,81.1,overcast clouds,12.1791,125.5072,JM Lodge
564,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
565,Sechura,PE,79.27,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
575,Daru,PG,78.13,light rain,-9.0763,143.2092,Daru Lodge
578,Veraval,IN,76.64,few clouds,20.9,70.3667,Lords Inn Somnath
584,Conceicao Da Barra,BR,76.84,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
590,Adrar,MR,82.08,overcast clouds,20.5022,-10.0711,
594,Ouahigouya,BF,81.5,clear sky,13.5828,-2.4216,Hotel Liberte
597,Takoradi,GH,80.13,few clouds,4.8845,-1.7554,Raybow International Hotel
600,Wete,TZ,77.85,overcast clouds,-5.0559,39.7294,Sharook Riviera Grand Lodge
604,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,Reserva do Abiaí
608,Magdalena,PH,82.0,few clouds,14.1999,121.429,Samparada & Gestiada Residences
609,Buchanan,LR,79.07,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
611,Manuk Mangkaw,PH,81.97,overcast clouds,4.8,119.85,
612,Mangrol,IN,76.68,few clouds,21.1167,70.1167,Hotel The Royal Honours
613,Caravelas,BR,77.23,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
616,Canutama,BR,75.04,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
623,Luanda,AO,80.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
626,Riyadh,SA,80.6,clear sky,24.6877,46.7219,InterContinental Riyadh
630,Ladario,BR,86.0,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
634,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
637,Am Timan,TD,85.14,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
639,Berbera,SO,77.94,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
640,Punta Cardon,VE,78.76,broken clouds,11.6581,-70.215,Bambuda hotel
641,Panaba,MX,80.73,few clouds,21.2833,-88.2667,Posada rosario
643,Salvador,SV,87.8,clear sky,13.8333,-88.9167,Chico's Ranch
645,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
647,Belmonte,BR,80.6,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
652,Nambour,AU,75.99,overcast clouds,-26.6333,152.95,Nambour Lodge Motel
657,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
662,La Ermita,MX,82.72,clear sky,20.4139,-101.9936,AUTO-HOTEL BERVELY HILLS
670,Moerai,PF,80.53,clear sky,-22.4333,-151.3333,Le Manotel
675,Coalinga,US,84.0,scattered clouds,36.1397,-120.3602,Royal Lodge Motel
679,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
683,Campo Grande,BR,77.0,few clouds,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
684,Pindiga,NG,79.88,scattered clouds,9.9833,10.9333,Accommodation Center
